BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN06806438				85		not collected	Ukraine: Berdiansk	Homo sapiens		46.7663 N 36.7988 E		REMOVE: Not Yersinia pestis
SAMN06768535				155		not collected	Ukraine: Mariupol	Homo sapiens		47.545 N 37.3258 E		REMOVE: Not Yersinia pestis
SAMN06768135				223		not collected	Ukraine: Nizhnie Serogozy	missing		46.5022 N 34.2233 E		REMOVE: Not Yersinia pestis
SAMN06768133				89		2016	Ukraine: Yalta	missing		44.2958 N 34.0919 E		REMOVE: Not Yersinia pestis
SAMN06768132				147		2016	Ukraine: Yalta	missing		44.2958 N 34.0919 E		REMOVE: Not Yersinia pestis
SAMN06768131				114		2016	Ukraine: Mariupol	Homo sapiens		47.545 N 37.3258 E		REMOVE: Not Yersinia pestis
SAMN06768130				102		2016	Ukraine: Kerch	Homo sapiens		45.2143 N 36.2816 E		REMOVE: Not Yersinia pestis
SAMN06768129				28		2016	Ukraine: Krivoy Rog	Homo sapiens		47.55 N 33.15 E		REMOVE: Not Yersinia pestis
SAMN06768128				5		2016	Ukraine: Zaporizhia	Homo sapiens		47.5 N 35.1 E		REMOVE: Not Yersinia pestis
SAMN04567820		PRJNA315671	SRS1349917			2012	USA					REMOVE: Lab manipulation
SAMN04567819		PRJNA315671	SRS1349918			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567818		PRJNA315671	SRS1349935			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567817		PRJNA315671	SRS1349936			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567816		PRJNA315671	SRS1349937			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567815		PRJNA315671	SRS1349938			2012	USA					REMOVE: Lab manipulation
SAMN04567814		PRJNA315671	SRS1349939			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567813		PRJNA315671	SRS1349924			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567812		PRJNA315671	SRS1349919			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567811		PRJNA315671	SRS1349920			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567810		PRJNA315671	SRS1349907			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN04567809		PRJNA315671	SRS1349885			2012	USA	Homo sapiens				REMOVE: Lab manipulation
SAMN06161235			SRS1868452	195/P	Orientalis	1898-1950	India:Maharashtra:Mumbai	Homo sapiens				KEEP: Assembly Modern
SAMN05715376		PRJNA335692		110		1983	Australia: Pearce	Homo sapiens		missing		REMOVE: Not Yersinia pestis
SAMN05450311		PRJNA335692	SRS1589458	110		1985	Viet Nam					REMOVE: Not Yersinia pestis
SAMN05853556				V-120		1985	Russia: Ulan-Ude	horse		51.806859940649105 N 107.60595694184303 E		REMOVE: Not Yersinia pestis
SAMN05240958				KM874	Caucasica	1984	Armenia:Syunik Province	Microtus arvalis		39.476257 N 46.09217799999999 E		KEEP: Assembly Modern
SAMN05225437				3551	Caucasica	1979	Armenia:Gegharkunik Province	Ctenophthalmus teres		missing		KEEP: Assembly Modern
SAMN05225434				3544	Caucasica	1979	Armenia:Shirak Province	Microtus arvalis		missing		KEEP: Assembly Modern
SAMN05225432				261	Medievalis	1955	Azerbaijan:Baku	Meriones libycus erythrourus		missing		KEEP: Assembly Modern
SAMN05225431				1240	Medievalis	1967	Azerbaijan:Fizuli District	Meriones libycus erythrourus		missing		KEEP: Assembly Modern
SAMN05225379				I-3223	Antiqua	1987	Russia:Tuva Republic:Mongun-Tayginsky Kozhuun	Citellophilus tesquorum		missing		KEEP: Assembly Modern
SAMN05225376				244	Medievalis	1967	Kazakhstan:Kyzylorda Province:Aral District	Homo sapiens		46.804956 N 61.663084000000026 E		KEEP: Assembly Modern
SAMN05225373				C-627		1986	Russia:Kabardino-Balkaria:Zolsky District	Coleophora tesquorum		43.469421 N 42.474785999999995 E		KEEP: Assembly Modern
SAMN05225370				I-3244		1988	Mongolia:Bayan-Olgii	Ochotona dauurica		missing		KEEP: Assembly Modern
SAMN05219223				349		2015	Russia:Altai Republic:Kosh-Agachsky Rayon	Oropsylla silantiewi		missing		KEEP: Assembly Modern
SAMN05219221				337		2015	Russia:Altai Republic:Kosh-Agachsky Rayon			missing		KEEP: Assembly Modern
SAMN05219204				338	Antiqua	2015	Russia:Altai Republic:Kosh-Agachsky Rayon	Marmota baibacina		missing		KEEP: Assembly Modern
SAMN05162893				1906	Medievalis	2014	Russia:Republic of Kalmykia:Lagansky District	Meriones meridianus		44.936386 N 46.93005700000003 E		KEEP: Assembly Modern
SAMN05162891				A-1836	Antiqua	1983	Kyrgyzstan:Issyk-Kul Region:Sarydzhaz high-mountain focus	Marmota baibacina		Missing		KEEP: Assembly Modern
SAMN05162583				M-1944		2012	Russia:Tuva Republic:Mongun-Tayginsky Kozhuun	Marmota sibirica		Missing		KEEP: Assembly Modern
SAMN05162581				835	Caucasica	1958	Armenia:Shirak Province	Homo sapiens		Missing		KEEP: Assembly Modern
SAMN05162580				1530		2014	Russia:Altai Republic:Kosh-Agachsky Rayon			49.995021 N 88.54540999999995 E		KEEP: Assembly Modern
SAMN05162559				595	Medievalis	2014	Russia:Astrakhan Oblast:Limansky District	Mus musculus		Missing		KEEP: Assembly Modern
SAMN05150105				1313	Altaica	2014	Russia:Altai Republic	Paradoxopsyllus scorodumovi		Missing		KEEP: Assembly Modern
SAMN05150068				I-2998	Altaica	1982	Russia:Altai Republic:Kosh-Agachsky Rayon	Ochotona pallasi		Missing		KEEP: Assembly Modern
SAMN05150065				A-1691	Antiqua	1971	Kyrgyzstan:Issyk-Kul Region:Sarydzhaz high-mountain focus			Missing		KEEP: Assembly Modern
SAMN05149973				A-1486	Antiqua	1966	Kyrgyzstan:Osh Region:Focus 35, Alai high-mountain focus	Marmota caudata		Missing		KEEP: Assembly Modern
SAMN05149970				M-986	Caucasica	1975	Armenia:Syunik Province	Homo sapiens		Missing		KEEP: Assembly Modern
SAMN05149969				A-1249	Hissarica	1970	Tajikistan:Sughd Province	Neodon juldaschi carruthersi		Missing		KEEP: Assembly Modern
SAMN05017795				517	Antiqua	2014	Russia:Altai Republic:Kosh-Agachsky Rayon:Mukhor-Tarkhata	Homo sapiens		49.989414 N 88.53896800000007 E		KEEP: Assembly Modern
SAMN05017696				A-1809	Medievalis	1980	Kyrgyzstan:Talas Region:Talas High Moutnain Foci	Pectinoctenus nemorosus		Missing		KEEP: Assembly Modern
SAMN05017693				M-1524		1993	Kazakhstan:Shymkent:Suzak District, Zhuantobe Townsite	Rhombomys opimus		44.904700 N 68.635977 E		KEEP: Assembly Modern
SAMN05017652				A-1920		1988	Kazakhstan:Almaty Region:Balkhash District, Bakanas Townsite	Rhombomys opimus		45.668325 N 77.29933600000004 E		KEEP: Assembly Modern
SAMN05017610				A-1825	Medievalis	1983	Uzbekistan:Navoiy Region:Focus 27	Rhombomys opimus		Missing		KEEP: Assembly Modern
SAMN05017606				2751-55	Altaica	2012	Russia:Altai Republic:Kosh-Agachsky Rayon:Tashanta	Ochotona pallasi		Missing		KEEP: Assembly Modern
SAMN05712322		PRJNA340278	SRS1650455			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712321		PRJNA340278	SRS1650451			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712320		PRJNA340278	SRS1650450			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712319		PRJNA340278	SRS1650449			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712318		PRJNA340278	SRS1650446			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712317		PRJNA340278	SRS1650448			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712316		PRJNA340278	SRS1650445			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712315		PRJNA340278	SRS1650444			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712314		PRJNA340278	SRS1650442			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712313		PRJNA340278	SRS1650443			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712312		PRJNA340278	SRS1650440			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712311		PRJNA340278	SRS1650441			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712310		PRJNA340278	SRS1650439			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712309		PRJNA340278	SRS1650438			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712308		PRJNA340278	SRS1650459			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712307		PRJNA340278	SRS1650460			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712306		PRJNA340278	SRS1650457			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712305		PRJNA340278	SRS1650456			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712304		PRJNA340278	SRS1650453			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712303		PRJNA340278	SRS1650454			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712302		PRJNA340278	SRS1650452			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712301		PRJNA340278	SRS1650447			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712300		PRJNA340278	SRS1650437			not applicable	not applicable	Cynomys		not applicable		REMOVE: Lab manipulation
SAMN05712299		PRJNA340278	SRS1650436			1992	USA: Colorado	Homo sapiens		39.33 N 105.46 W		KEEP: EAGER Modern
SAMN05282282				Cadman		2016	United States of America:New Mexico:Gallup	Homo sapiens		missing		KEEP: Assembly Modern
SAMN05162506			SRS1539748			2013	USA: Florida	Diploria labyrinthiformis		24.9 N 80.5 W		REMOVE: Not Yersinia pestis
SAMN05162505			SRS1539749			2013	USA: Florida	Chyroptochiridae		24.9 N 80.5 W		REMOVE: Not Yersinia pestis
SAMN05017702				M-1773	Medievalis	2002	Russia:Astrakhan Oblast:Krasnoyarsky District	Meriones meridianus		46.585543 N 48.44837899999993 E		KEEP: Assembly Modern
SAMN04032844			SRS1063801	CO92		1992	USA: Colorado					KEEP: EAGER Modern
SAMN03256395		PRJNA240084	SRS1338873	Nairobi	Antiqua	1985	Kenya:Nairobi					KEEP: Assembly Modern
SAMN03202985		PRJNA240082	SRS1338960	Pestoides G		1950-1984						KEEP: Assembly Modern
SAMN03418619		PRJNA257008	SRS880800	125 B plague Bombay	Orientalis	1920-1943	India:Maharashtra:Mumbai			Missing		KEEP: Assembly Modern
SAMN04331740				KM918	Medievalis	1989	Russia:Kabardino-Balkaria:Elbrus District:Gizhgit	Ctenophthalmus orientalis		43.47001 N 42.992790000000014 E		KEEP: Assembly Modern
SAMN04417250				M1275D	El Tor	20-Oct-2015	Russia: Dagestan	Homo sapiens		43.06 N 46.50999999999999 E		REMOVE: Not Yersinia pestis
SAMN04417215				M1275	El Tor	1993	Russia: Dagestan	Homo sapiens		42.52 N 47.370000000000005 E		REMOVE: Not Yersinia pestis
SAMN04417245				M888		1970	Russia: Astrakhan	Homo sapiens		46.35703772877559 N 48.06445296853781 E		REMOVE: Not Yersinia pestis
SAMN04413738				P13762		1988	Uzbekistan: Tashkent	Homo sapiens		41.30515020233036 N 69.25455093383789 E		REMOVE: Not Yersinia pestis
SAMN04413737				M299		1965	Turkmenistan	Homo sapiens		38.639760329416085 N 59.32031124830246 E		REMOVE: Not Yersinia pestis
SAMN04012736				Yp2126		2011	United States of America:Arizona			Unknown		KEEP: Assembly Modern
SAMN04012733				Yp1945		2009	United States of America:Texas			Unknown		KEEP: Assembly Modern
SAMN04011831			SRS1045217			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011830			SRS1045211			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011829			SRS1045212			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011828			SRS1045214			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011827			SRS1045208			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011826			SRS1045209			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011825			SRS1045210			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011824			SRS1045203			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011823			SRS1045205			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011822			SRS1045206			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011821			SRS1045207			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011820			SRS1045200			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011819			SRS1045201			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011818			SRS1045221			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011817			SRS1045222			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011816			SRS1045218			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011815			SRS1045219			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011814			SRS1045220			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011813			SRS1045215			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011812			SRS1045216			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011811			SRS1045213			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011810			SRS1045202			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04011809			SRS1045240			not applicable	USA: Arizona	not applicable				REMOVE: Lab manipulation
SAMN04376922				M-1453	Medievalis	1991	Kazakhstan:Atyrau:Makhambet district	Rhombomys opimus		47.636863 N 51.70316200000002 E		KEEP: Assembly Modern
SAMN04376919				173	Medievalis	1978	Kazakhstan:Mangystau Province	Rhombomys opimus		missing		KEEP: Assembly Modern
SAMN04376917				M-549	Medievalis	1977	Turkmenistan:Balkan:Krasnovodsk Region	Rhombomys opimus		41.679476 N 54.966508999999974 E		KEEP: Assembly Modern
SAMN04376048				M-519	Medievalis	1967	Turkmenistan:Balkan:Kizyl-Atrek Region	Rhombomys opimus		missing		KEEP: Assembly Modern
SAMN04376042				M-1763		2002	Russia:Astrakhan Oblast:Krasnoyarsky District	Nosopsyllus laeviceps		missing		KEEP: Assembly Modern
SAMN04364500				KM-816		1990	Turkmenistan:Balkan	Rhombomys opimus		41.000137 N 55.666886999999974 E		KEEP: Assembly Modern
SAMN04364306				M-978	Medievalis	1990	Russia:Republic of Kalmykia:Ketchenerovsky District	Spermophilus pygmaeus		47.10023 N 45.707251999999926 E		KEEP: Assembly Modern
SAMN04364301				1116-D	Medievalis	1971	Russia:Ingushetia:Malgobek	Spermophilus pygmaeus		43.405649 N 44.68555500000002 E		KEEP: Assembly Modern
SAMN04357319				I-1996	Antiqua	1970	Russia:Zabaykalsky Krai:Chita	Spermophilus dauricus		50.609718 N 115.708895 E		KEEP: Assembly Modern
SAMN04337145				A-1815	Talassica	1980	Kyrgyzstan:Talas Region	Callopsylla caspia		42.469232 N 72.24286600000005 E		KEEP: Assembly Modern
SAMN04336076				C-741	Caucasica	1999	Russia:Republic of Dagestan:Kulinsky District	Megabothris turbidus		41.942454 N 47.309124 E		KEEP: Assembly Modern
SAMN04329024				M-1864	Medievalis	2009	Russia:Republic of Kalmykia:Lagansky District	Meriones meridianus		45.217463 N 47.06267700000001 E		KEEP: Assembly Modern
SAMN04192112				GF41		2014	Brazil: Alagoas	Diatraea saccharalis		9.968850608546097 S 37.26560899999993 W		REMOVE: Not Yersinia pestis
SAMN03860331				C-573		2014	Russia: Stavropol region	Homo sapiens		44.82 N 44.66 E		REMOVE: Not Yersinia pestis
SAMN03860330				C-572		2014	Russia: Stavropol region	Homo sapiens		44.43 N 42.10 E		REMOVE: Not Yersinia pestis
SAMN03860321				C-569		2014	Russia: The Republic of Kalmykia	Homo sapiens		45.62 N 46.02 E		REMOVE: Not Yersinia pestis
SAMN04023227				31		2011	Ukraine: Mariupol	Homo sapiens		47.13 N 37.56 E		REMOVE: Not Yersinia pestis
SAMN04023226				43		1994	Ukraine: Mariupol	Homo sapiens		47.13 N 37.56 E		REMOVE: Not Yersinia pestis
SAMN04023225				56		1994	Ukraine: Mariupol			47.13 N 37.56 E		REMOVE: Not Yersinia pestis
SAMN04023224				39		2011	Ukraine: Mariupol			47.13 N 37.56 E		REMOVE: Not Yersinia pestis
SAMN02929928		PRJNA255985	SRS664882			not applicable	not applicable			not applicable		REMOVE: Lab manipulation
SAMN02929927		PRJNA255985	SRS664880			not applicable	not applicable			not applicable		REMOVE: Lab manipulation
SAMN02929926		PRJNA255985	SRS664879			not applicable	not applicable			not applicable		REMOVE: Lab manipulation
SAMN02923783			SRS1044128	CO92		1992	United States of America:Colorado					KEEP: Assembly Modern
SAMN03218157		PRJNA240105	SRS1042581	Pestoides B		1950-1984						KEEP: Assembly Modern
SAMN03174669		PRJNA240103	SRS1041366	Antiqua		1965	Democratic Republic of the Congo					KEEP: Assembly Modern
SAMN03074123		PRJNA240102	SRS1041370	A1122	Orientalis	1939	United States of America:California	Spermophilus beecheyi				KEEP: Assembly Modern
SAMN03216587		PRJNA240107	SRS1040966	Java9	Orientalis	1957	Indonesia:Central Java:Gempolan	Rattus rattus diardi				KEEP: Assembly Modern
SAMN03074081		PRJNA240104	SRS1040979	PBM19		1950-2000						KEEP: Assembly Modern
SAMN03177051		PRJNA240101	SRS1025892	Angola	Pestoides	Unknown	Unknown					REMOVE: Modern Assembly Morelli 2010 Cui 2013 No Host No Date No Location Long Branch
SAMN03160774		PRJNA235224	SRS1025015	CO92	Orientalis	1992	United States of America:Colorado					KEEP: Assembly Modern
SAMN03121016		PRJNA239345	SRS1024789	Pestoides F		1950-1984						KEEP: Assembly Modern
SAMN03955854		PRJNA291739	SRS1023905			not applicable	not applicable	not applicable		not applicable		REMOVE: No Assembly or SRA data
SAMN03955853		PRJNA291739	SRS1023906			not applicable	not applicable	not applicable		not applicable		REMOVE: No Assembly or SRA data
SAMN03955852		PRJNA291739	SRS1023907			not applicable	not applicable	not applicable		not applicable		REMOVE: No Assembly or SRA data
SAMN03955851		PRJNA291739	SRS1023908			not applicable	not applicable	not applicable		not applicable		REMOVE: No Assembly or SRA data
SAMN03955850		PRJNA291739	SRS1023909			not applicable	not applicable	not applicable		not applicable		REMOVE: No Assembly or SRA data
SAMN03160723		PRJNA240083	SRS1023828	KIM 5	Medievalis	2007	Iran:Kurdistan	Homo sapiens				KEEP: Assembly Modern
SAMN03943674		PRJNA208260		1045	Medievalis	1961-1976	Azerbaijan: Apsheron Pen.					KEEP: Assembly Modern
SAMN03943655		PRJNA208254		3067	Caucasica	1966-1997	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMN03943654		PRJNA208257		3770	Caucasica	1966-1997	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMN03943569		PRJNA208258		8787	Caucasica	1992	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMN03943539		PRJNA208259		14735	Caucasica	1961-1976	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMN03943538		PRJNA208247		1670	Caucasica	1950-2000	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMN03941711		PRJNA208249		2944	Medievalis	1975	Russia:Kabardino-Balkaria					KEEP: Assembly Modern
SAMN03817042			SRS977173	KIM 10v	Medievalis	1968-2015	Iran:Kurdistan	Homo sapiens				KEEP: Assembly Modern
SAMN03816156			SRS977338	EV76D	Orientalis	1926-2015	Madagascar	Vaccine				KEEP: Assembly Modern
SAMN03860328				C-571		2014	Russia: Stavropol region	Homo sapiens		45.37 N 44.22 E		REMOVE: Not Yersinia pestis
SAMN03860322				C-570		2014	Russia: Stavropol region	Homo sapiens		44.94 N 45.13 E		REMOVE: Not Yersinia pestis
SAMN03860172				C-568		2014	Russia: The Republic of Kalmykia	Homo sapiens		45.62 N 46.02 E		REMOVE: Not Yersinia pestis
SAMN03856542		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856541		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856540		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856539		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856538		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856537		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856536		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856500		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03856499		PRJNA289649		C57BL6/J								REMOVE: Lab manipulation
SAMN03797527				C-567		2014	Russia: The Republic of Dagestan	Homo sapiens		45.19 N 46.2 E		REMOVE: Not Yersinia pestis
SAMN03783058		PRJNA208251		1413	Caucasica	1966-1997	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMN03783057		PRJNA208252		1522	Caucasica	1961-1976	Armenia:Shirak Province					KEEP: Assembly Modern
SAMN03782999		PRJNA208250		1412	Caucasica	1966-1997	Georgia:Samtskhe-Javakheti:Ninotsminda					KEEP: Assembly Modern
SAMN02604093		PRJNA288		KIM 10+	Medievalis	1968	Iran:Kurdistan	Homo sapiens				KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02604042		PRJNA16067		Angola	Pestoides	<1984	Angola					REMOVE: Modern Assembly Morelli 2010 Cui 2013 No Host No Date No Location Long Branch
SAMN02603873		PRJNA36547		Z176003	Orientalis	1976	China:Tibet:Naqu	Marmota himalayana				KEEP: Assembly Modern
SAMN02603872		PRJNA36545		D182038	Orientalis	1982	China:Yunnan:Jianchuan	Apodemus chevrieri				KEEP: Assembly Modern
SAMN02603871		PRJNA36507		D106004	Orientalis	2006	China:Yunnan:Yulong	Apodemus chevrieri				KEEP: Assembly Modern
SAMN02603531		PRJNA67155		A1122	Orientalis	1939	United States of America:California	Spermophilus beecheyi				KEEP: Assembly Modern
SAMN02603222		PRJNA30505		Harbin35	Antiqua	1940	China:Heilongjiang:Harbin	Homo sapiens				KEEP: Assembly Modern
SAMN02602970		PRJNA10638		91001	Microtus	1970	China:Inner Mongolia	Microtus brandti	44.03		114.97	KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02598373		PRJNA16700		Pestoides F		1950-1984						KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02598370		PRJNA16646		Nepal516	Antiqua	1967	Nepal:Gandaki Pradesh:Country centroid	Homo sapiens				KEEP: Assembly Modern
SAMN02598369		PRJNA16645		Antiqua	Antiqua	1965	Democratic Republic of the Congo	Homo sapiens				KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02470618		PRJNA201414		24H		1998	India:Tamil Nadu:Hosur	Tatera indica				KEEP: Assembly Modern
SAMN02470617		PRJNA201410		113		1994	India:Gujarat:Surat	Rattus rattus				KEEP: Assembly Modern
SAMN02470616		PRJNA201408		9		1994	India:Gujarat:Surat	Homo sapiens				KEEP: Assembly Modern
SAMN02470613		PRJNA201413		S3		2002	India:Himachal Pradesh:Shimla	Homo sapiens				KEEP: Assembly Modern
SAMN02207408		PRJNA208841		EBD10-058	Orientalis	2010	Canada:Saskatchewan:Grasslands National Park	Cynomys ludovicianus		missing		KEEP: Assembly Modern
